literature_cm-1,source,assignment,our_powder_cm-1,"dft_supported_cm-1_(fragment,confidence)",status
550,"A (Wu 2021, Enteric LPS)",beta(CH2) ring,542,"542 (Heptose, Moderate)",Strong (literature -> our powder -> DFT-supported)
680,"A (Wu 2021, Enteric LPS)",delta(C-O-C) fatty acid,674,"676 (Heptose, Moderate)",Strong (literature -> our powder -> DFT-supported)
850,"A (Wu 2021, Enteric LPS / thesis)",nu(C-O-C) saccharide / glycosidic,-,849 (Myristic_Acid),Literature/DFT only (theory places a mode here; no major exp peak detected)
988,"A (Wu 2021, Enteric LPS / thesis)",Carbohydrate (KDO),-,990 (KDO),Literature/DFT only (theory places a mode here; no major exp peak detected)
1131,"A (Wu 2021, both LPS types) + Kundu-text",Fatty acid C-C / lipid vibrations,1124,"1122 (KDO, Moderate)",Strong (literature -> our powder -> DFT-supported)
1330,"A (Wu 2021, both LPS types)",Phospholipid delta(CH),-,1330 (KDO),Literature/DFT only (theory places a mode here; no major exp peak detected)
1450,"A (Wu 2021, Enteric LPS)",CH3/CH2 deformation,-,1458 (Myristic_Acid),Literature/DFT only (theory places a mode here; no major exp peak detected)
543,"A2 (Wu 2021, N. meningitidis LPS)",Glycosidic ring,542,"542 (Heptose, Moderate)",Strong (literature -> our powder -> DFT-supported)
552,"A2 (Wu 2021, N. meningitidis LPS)",Lipid ring,542,"542 (Heptose, Moderate)",Strong (literature -> our powder -> DFT-supported)
715,"A2 (Wu 2021, N. meningitidis LPS)",C-N,721,"718 (KDO, High)",Strong (literature -> our powder -> DFT-supported)
733,"A2 (Wu 2021, N. meningitidis LPS)",Carbohydrate,736,-,Experimental/Literature only (no DFT-supported match at this exp peak)
981,"A2 (Wu 2021, N. meningitidis LPS)",Lipid beta(CH),972,"962 (Heptose, Moderate)",Strong (literature -> our powder -> DFT-supported)
1066,B (Apr-2026 lit. report),P-O-C / C-O (~1058-1075),-,1066 (Glucosamine),Literature/DFT only (theory places a mode here; no major exp peak detected)
1230,"B (Apr-2026 lit. report, PRIMARY)",P=O asym (~1220-1240),-,1224 (Heptose),Literature/DFT only (theory places a mode here; no major exp peak detected)
1550,B (Apr-2026 lit. report),Amide II (~1540-1560),-,-,Literature only (no match in our data)
1651,B (Apr-2026 lit. report),Amide I (~1645-1658),1659,"1659 (KDO, High)",Strong (literature -> our powder -> DFT-supported)
1738,B (Apr-2026 lit. report),C=O ester (~1735-1742),1727,-,Experimental/Literature only (no DFT-supported match at this exp peak)
857,D (Yang et al. 2022 / Fig P1),LPS band (differentiation set),-,858 (Glucosamine),Literature/DFT only (theory places a mode here; no major exp peak detected)
1003,D (Yang et al. 2022 / Fig P1),LPS band (differentiation set),-,1003 (Heptose),Literature/DFT only (theory places a mode here; no major exp peak detected)
1333,D (Yang et al. 2022 / Fig P1),LPS band; overlaps LTA per Fig P1 note,-,1330 (KDO),Literature/DFT only (theory places a mode here; no major exp peak detected)
1614,D (Yang et al. 2022 / Fig P1),LPS band; overlaps LTA per Fig P1 note,1615,-,Experimental/Literature only (no DFT-supported match at this exp peak)
1316,"Kundu-text (flagged conflicted, see note)",Aliphatic molecules,-,1322 (Heptose),Literature/DFT only (theory places a mode here; no major exp peak detected)
1366,"Kundu-text (flagged conflicted, see note)",Lipids,1354,"1355 (KDO, Moderate)",Strong (literature -> our powder -> DFT-supported)
1579,"Kundu-text (flagged conflicted, see note)",Graphitic carbon -- likely SERS-substrate artifact,1574,-,Experimental/Literature only (no DFT-supported match at this exp peak)
1655,"Kundu-text (flagged conflicted, see note)",Lipids (C=O),1659,"1659 (KDO, High)",Strong (literature -> our powder -> DFT-supported)
